,country,NC1,NC2,NC3,NC4,NC5,NC6,NC7
1,Australia,https://unfccc.int/documents/198646,https://unfccc.int/documents/198647,https://unfccc.int/documents/198648,https://unfccc.int/documents/198545,https://unfccc.int/documents/198435,https://unfccc.int/documents/198294,https://unfccc.int/documents/69238
2,Austria,https://unfccc.int/documents/198649,https://unfccc.int/documents/198650,https://unfccc.int/documents/198651,https://unfccc.int/documents/198546,https://unfccc.int/documents/198436,https://unfccc.int/documents/198295,https://unfccc.int/documents/64720
3,Belarus,https://unfccc.int/documents/198652,https://unfccc.int/documents/198548,https://unfccc.int/documents/198548,https://unfccc.int/documents/198548,https://unfccc.int/documents/198437,https://unfccc.int/documents/198303,https://unfccc.int/documents/624772
4,Belgium,https://unfccc.int/documents/198653,https://unfccc.int/documents/198654,https://unfccc.int/documents/198655,https://unfccc.int/documents/198551,https://unfccc.int/documents/198441,https://unfccc.int/documents/198304,https://unfccc.int/documents/198234
5,Bulgaria,https://unfccc.int/documents/198656,https://unfccc.int/documents/198657,https://unfccc.int/documents/198658,https://unfccc.int/documents/198553,https://unfccc.int/documents/198442,https://unfccc.int/documents/198305,https://unfccc.int/documents/198224
6,Canada,https://unfccc.int/documents/198659,https://unfccc.int/documents/198660,https://unfccc.int/documents/198661,https://unfccc.int/documents/198554,https://unfccc.int/documents/198444,https://unfccc.int/documents/198320,https://unfccc.int/documents/198352
7,Croatia,https://unfccc.int/documents/198662,https://unfccc.int/documents/198575,https://unfccc.int/documents/198575,https://unfccc.int/documents/198575,https://unfccc.int/documents/198445,https://unfccc.int/documents/198322,https://unfccc.int/documents/66923
8,Czech Republic,,https://unfccc.int/documents/198663,https://unfccc.int/documents/198666,https://unfccc.int/documents/198578,https://unfccc.int/documents/198446,https://unfccc.int/documents/198334,https://unfccc.int/documents/198236
9,Denmark,https://unfccc.int/documents/198673,https://unfccc.int/documents/198674,https://unfccc.int/documents/198675,https://unfccc.int/documents/198579,https://unfccc.int/documents/198448,https://unfccc.int/documents/198338,https://unfccc.int/documents/28946
10,Estonia,https://unfccc.int/documents/198676,https://unfccc.int/documents/198677,https://unfccc.int/documents/198678,https://unfccc.int/documents/198582,https://unfccc.int/documents/198449,https://unfccc.int/documents/198339,https://unfccc.int/documents/198238
11,European Community,,https://unfccc.int/documents/198679,https://unfccc.int/documents/198680,https://unfccc.int/documents/198584,https://unfccc.int/documents/198450,https://unfccc.int/documents/198341,https://unfccc.int/documents/198246
12,Finland,https://unfccc.int/documents/198682,https://unfccc.int/documents/198683,https://unfccc.int/documents/198684,https://unfccc.int/documents/198585,https://unfccc.int/documents/198451,https://unfccc.int/documents/198342,https://unfccc.int/documents/198252
13,France,https://unfccc.int/documents/198685,https://unfccc.int/documents/198686,https://unfccc.int/documents/198687,https://unfccc.int/documents/198586,https://unfccc.int/documents/198452,https://unfccc.int/documents/198344,https://unfccc.int/documents/64738
14,Germany,https://unfccc.int/documents/198688,https://unfccc.int/documents/198689,https://unfccc.int/documents/198690,https://unfccc.int/documents/198587,https://unfccc.int/documents/198455,https://unfccc.int/documents/198349,https://unfccc.int/documents/198253
15,Greece,https://unfccc.int/documents/198691,https://unfccc.int/documents/198692,https://unfccc.int/documents/198693,https://unfccc.int/documents/198589,https://unfccc.int/documents/198458,https://unfccc.int/documents/198381,https://unfccc.int/documents/198255
16,Hungary,https://unfccc.int/documents/198694,https://unfccc.int/documents/198695,https://unfccc.int/documents/198696,https://unfccc.int/documents/198590,https://unfccc.int/documents/198459,https://unfccc.int/documents/198383,https://unfccc.int/documents/28936
17,Iceland,https://unfccc.int/documents/198697,https://unfccc.int/documents/198705,https://unfccc.int/documents/198706,https://unfccc.int/documents/198591,https://unfccc.int/documents/198460,https://unfccc.int/documents/198384,https://unfccc.int/documents/64741
18,Ireland,https://unfccc.int/documents/198707,https://unfccc.int/documents/198708,https://unfccc.int/documents/198710,https://unfccc.int/documents/198592,https://unfccc.int/documents/198461,https://unfccc.int/documents/198386,https://unfccc.int/documents/64965
19,Italy,https://unfccc.int/documents/198711,https://unfccc.int/documents/198712,https://unfccc.int/documents/198713,https://unfccc.int/documents/198593,https://unfccc.int/documents/198462,https://unfccc.int/documents/198387,https://unfccc.int/documents/28945
20,Japan,https://unfccc.int/documents/198714,https://unfccc.int/documents/198715,https://unfccc.int/documents/198716,https://unfccc.int/documents/198594,https://unfccc.int/documents/198463,https://unfccc.int/documents/198388,https://unfccc.int/documents/193414
21,Kazakhstan,,,https://unfccc.int/documents/198604,https://unfccc.int/documents/198604,https://unfccc.int/documents/198604,https://unfccc.int/documents/198604,https://unfccc.int/documents/28937
22,Latvia,https://unfccc.int/documents/198717,,https://unfccc.int/documents/198718,https://unfccc.int/documents/198614,https://unfccc.int/documents/198482,https://unfccc.int/documents/198395,https://unfccc.int/documents/198256
23,Liechtenstein,,,https://unfccc.int/documents/198719,https://unfccc.int/documents/198615,https://unfccc.int/documents/198485,https://unfccc.int/documents/198396,https://unfccc.int/documents/198257
24,Lithuania,https://unfccc.int/documents/198720,https://unfccc.int/documents/198721,https://unfccc.int/documents/198617,https://unfccc.int/documents/198617,https://unfccc.int/documents/198486,https://unfccc.int/documents/198397,https://unfccc.int/documents/198277
25,Luxembourg,https://unfccc.int/documents/198722,https://unfccc.int/documents/198487,https://unfccc.int/documents/198487,https://unfccc.int/documents/198487,https://unfccc.int/documents/198487,https://unfccc.int/documents/198398,https://unfccc.int/documents/64744
26,Malta,,,https://unfccc.int/documents/198399,https://unfccc.int/documents/198399,https://unfccc.int/documents/198399,https://unfccc.int/documents/198399,https://unfccc.int/documents/64745
27,Monaco,https://unfccc.int/documents/198726,https://unfccc.int/documents/198727,https://unfccc.int/documents/198728,https://unfccc.int/documents/198623,https://unfccc.int/documents/198490,https://unfccc.int/documents/198400,https://unfccc.int/documents/64746
28,Netherlands,https://unfccc.int/documents/198729,https://unfccc.int/documents/198730,https://unfccc.int/documents/198731,https://unfccc.int/documents/198625,https://unfccc.int/documents/198491,https://unfccc.int/documents/198403,https://unfccc.int/documents/198279
29,New Zealand,https://unfccc.int/documents/198732,https://unfccc.int/documents/198733,https://unfccc.int/documents/198734,https://unfccc.int/documents/198626,https://unfccc.int/documents/198492,https://unfccc.int/documents/198407,https://unfccc.int/documents/198280
30,Norway,https://unfccc.int/documents/198735,https://unfccc.int/documents/198736,https://unfccc.int/documents/198737,https://unfccc.int/documents/198628,https://unfccc.int/documents/198500,https://unfccc.int/documents/198408,https://unfccc.int/documents/198283
31,Poland,https://unfccc.int/documents/198738,https://unfccc.int/documents/198739,https://unfccc.int/documents/198740,https://unfccc.int/documents/198629,https://unfccc.int/documents/198501,https://unfccc.int/documents/198409,https://unfccc.int/documents/198284
32,Portugal,https://unfccc.int/documents/198741,https://unfccc.int/documents/198743,https://unfccc.int/documents/198744,https://unfccc.int/documents/198630,https://unfccc.int/documents/198502,https://unfccc.int/documents/198411,https://unfccc.int/documents/198285
33,Romania,https://unfccc.int/documents/198745,https://unfccc.int/documents/198746,https://unfccc.int/documents/198747,https://unfccc.int/documents/198631,https://unfccc.int/documents/198503,https://unfccc.int/documents/198413,https://unfccc.int/documents/198286
34,Russian Federation,https://unfccc.int/documents/198748,https://unfccc.int/documents/198749,https://unfccc.int/documents/198750,https://unfccc.int/documents/198633,https://unfccc.int/documents/198504,https://unfccc.int/documents/198414,https://unfccc.int/documents/198288
35,Slovakia,https://unfccc.int/documents/198751,https://unfccc.int/documents/198752,https://unfccc.int/documents/198753,https://unfccc.int/documents/198634,https://unfccc.int/documents/198512,https://unfccc.int/documents/198415,https://unfccc.int/documents/198289
36,Slovenia,https://unfccc.int/documents/198754,https://unfccc.int/documents/198759,https://unfccc.int/documents/198759,https://unfccc.int/documents/198635,https://unfccc.int/documents/198513,https://unfccc.int/documents/198416,https://unfccc.int/documents/64747
37,Spain,,https://unfccc.int/documents/198761,https://unfccc.int/documents/198762,https://unfccc.int/documents/198636,https://unfccc.int/documents/198514,https://unfccc.int/documents/198417,https://unfccc.int/documents/198353
38,Sweden,https://unfccc.int/documents/198763,https://unfccc.int/documents/198764,https://unfccc.int/documents/198766,https://unfccc.int/documents/198638,https://unfccc.int/documents/198515,https://unfccc.int/documents/198418,https://unfccc.int/documents/198291
39,Switzerland,https://unfccc.int/documents/198768,https://unfccc.int/documents/198769,https://unfccc.int/documents/198770,https://unfccc.int/documents/198639,https://unfccc.int/documents/198516,https://unfccc.int/documents/198419,https://unfccc.int/documents/194473
40,Turkey,https://unfccc.int/documents/198773,,,,https://unfccc.int/documents/199141,https://unfccc.int/documents/198420,https://unfccc.int/documents/199646
41,Ukraine,https://unfccc.int/documents/198774,https://unfccc.int/documents/198775,https://unfccc.int/documents/198517,https://unfccc.int/documents/198517,https://unfccc.int/documents/198517,https://unfccc.int/documents/198421,
42,United Kingdom,,https://unfccc.int/documents/198776,https://unfccc.int/documents/198777,https://unfccc.int/documents/198640,https://unfccc.int/documents/198518,https://unfccc.int/documents/198423,https://unfccc.int/documents/198292
43,United States of America,,https://unfccc.int/documents/198779,https://unfccc.int/documents/198780,https://unfccc.int/documents/198641,https://unfccc.int/documents/198519,https://unfccc.int/documents/198424,https://unfccc.int/documents/624756
