Module,Policy,Policytype,Policytype_detail,Policy_match
Cross_sectoral,Bans Phase Outs Fossil Fuel Extraction,NMBI,Technology Standards,0
Cross_sectoral,Methane Policies,NMBI,Other NMBI,0
Cross_sectoral,RDD_CCS,MBI,Other MBI,1
Cross_sectoral,RDD_Hydrogen,MBI,Other MBI,1
Cross_sectoral,RDD_Otherstorage,MBI,Other MBI,1
Cross_sectoral,RDD_Renewables,MBI,Other MBI,1
Electricity,AirEmissionStandards,NMBI,Performance Standards,1
Electricity,Auction,MBI,Subsidy,1
Electricity,BanPhaseOutCoal,NMBI,Technology Standards,0
Electricity,Carbon Tax Electricity,MBI,Carbon Pricing,0
Electricity,ETS Electricity,MBI,Carbon Pricing,1
Electricity,Excise Taxes Electricity,MBI,Carbon Pricing,0
Electricity,Feed-In-Tariffs,MBI,Subsidy,1
Electricity,Fossil Fuel Subsidies Electricity,MBI,Carbon Pricing,1
Electricity,PlanningRenewablesExpansion,NMBI,Other regulatory instruments,1
Electricity,Renewable energy certificates,MBI,Subsidy,1
Industry,Carbon Tax Industry,MBI,Carbon Pricing,0
Industry,ETS Industry,MBI,Carbon Pricing,1
Industry,EnergyEfficiencyMandates,NMBI,Other regulatory instruments,1
Industry,Excise Taxes Industry,MBI,Carbon Pricing,0
Industry,Financing Mechanism Industry,MBI,Subsidy,1
Industry,Fossil Fuel Subsidies Industry,MBI,Carbon Pricing,1
Industry,MEPS electric motors,NMBI,Performance Standards,1
International,Ban on Export Credits Coal,NMBI,Technology Standards,0
International,Ban on Financing Fossil Fuels Abroad,NMBI,Technology Standards,0
International,Ratification of Climate Treaties,Other,International Co-operation,1
